time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,month-day,city
2008-12-01,53,4.5,-2.6,0.9,12.01,6
2008-12-01,51,4.1,1.9,0.3,12.01,1
2008-12-01,3,3.9,-1.7,0.0,12.01,7
2008-12-01,1,4.5,-0.5,0.0,12.01,10
2008-12-01,71,2.5,-2.9,0.3,12.01,4
2008-12-01,3,3.9,-2.0,0.0,12.01,8
2008-12-01,71,2.7,-2.6,0.4,12.01,2
2008-12-01,3,2.7,-2.6,0.0,12.01,5
2008-12-01,3,2.8,-1.3,0.0,12.01,9
2008-12-02,53,5.6,1.2,1.9,12.02,10
2008-12-02,71,2.5,-2.5,2.0,12.02,4
2008-12-02,71,4.3,0.8,10.3,12.02,6
2008-12-02,53,4.4,-1.7,1.0,12.02,1
2008-12-02,71,3.1,-1.7,0.8,12.02,5
2008-12-02,75,3.2,-3.4,6.9,12.02,3
2008-12-02,53,5.5,-1.3,1.4,12.02,7
2008-12-02,73,1.5,-0.5,2.7,12.02,2
2008-12-02,73,3.3,-2.4,1.8,12.02,8
2008-12-02,51,4.3,-0.9,1.2,12.02,9
2008-12-03,3,3.1,-2.4,0.0,12.03,8
2008-12-03,71,1.7,-5.3,1.4,12.03,4
2008-12-03,3,3.6,-2.6,0.0,12.03,1
2008-12-03,51,3.6,-0.3,0.2,12.03,10
2008-12-03,51,3.0,-1.1,0.1,12.03,7
2008-12-03,3,2.1,-1.9,0.0,12.03,5
2008-12-03,3,2.7,-1.7,0.0,12.03,9
2008-12-03,3,2.3,-3.5,0.0,12.03,3
2008-12-03,71,1.6,-3.0,0.6,12.03,2
2008-12-03,51,3.6,-0.5,0.1,12.03,6
2008-12-04,73,2.5,1.5,6.0,12.04,2
2008-12-04,75,3.9,0.1,12.1,12.04,8
2008-12-04,75,4.7,0.8,11.9,12.04,3
2008-12-04,73,6.0,1.9,17.8,12.04,6
2008-12-04,75,3.2,0.3,14.7,12.04,4
2008-12-04,73,5.9,0.5,9.7,12.04,5
2008-12-04,63,7.8,2.6,10.7,12.04,7
2008-12-04,55,7.8,0.3,4.5,12.04,1
2008-12-04,63,8.5,3.7,16.3,12.04,10
2008-12-04,71,7.3,1.3,9.3,12.04,9
2008-12-05,73,5.0,0.9,5.8,12.05,2
2008-12-05,51,6.4,0.1,0.7,12.05,1
2008-12-05,51,3.7,0.9,0.4,12.05,8
2008-12-05,3,7.3,2.8,0.0,12.05,7
2008-12-05,51,5.4,2.2,0.3,12.05,3
2008-12-05,71,4.4,-2.5,0.7,12.05,4
2008-12-05,53,7.5,3.9,3.2,12.05,10
2008-12-05,53,6.7,3.8,4.2,12.05,6
2008-12-05,51,6.3,0.8,0.6,12.05,9
2008-12-05,51,5.6,0.3,0.2,12.05,5
2008-12-06,2,5.4,-1.5,0.0,12.06,7
2008-12-06,3,5.0,-2.4,0.0,12.06,8
2008-12-06,1,4.5,-1.6,0.0,12.06,3
2008-12-06,1,1.3,-2.4,0.0,12.06,4
2008-12-06,2,5.1,-1.1,0.0,12.06,9
2008-12-06,2,5.5,0.3,0.0,12.06,6
2008-12-06,1,4.5,-2.2,0.0,12.06,5
2008-12-06,51,6.3,-1.0,0.2,12.06,1
2008-12-06,0,5.5,0.5,0.0,12.06,10
2008-12-06,1,2.1,-1.6,0.0,12.06,2
2008-12-07,3,4.0,-3.5,0.0,12.07,8
2008-12-07,3,5.0,-2.2,0.0,12.07,6
2008-12-07,51,6.2,-0.1,0.3,12.07,2
2008-12-07,3,1.3,-2.8,0.0,12.07,7
2008-12-07,3,2.5,-2.0,0.0,12.07,10
2008-12-07,3,2.1,-3.9,0.0,12.07,9
2008-12-07,1,4.8,-2.1,0.0,12.07,1
2008-12-07,3,1.9,-4.1,0.0,12.07,5
2008-12-07,3,6.5,-2.8,0.0,12.07,4
2008-12-07,3,2.5,-4.6,0.0,12.07,3
2008-12-08,53,6.2,-0.2,0.9,12.08,1
2008-12-08,55,6.9,-1.3,3.1,12.08,4
2008-12-08,55,5.7,0.4,3.7,12.08,5
2008-12-08,53,5.9,1.9,3.2,12.08,8
2008-12-08,55,6.3,1.7,3.4,12.08,7
2008-12-08,53,7.1,2.6,1.6,12.08,10
